Poetic Opening,Poem,Author,Year,Lines,"Count of 
Metaphor",Metaphorical Name,Meaning,Extra Notes
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,நூற்றாண்டு இரவினை நொடியோடு போக்கிடும் ஒளியாகத் தோன்றினானே,0,,,
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,இரும்பான நெஞ்சிலும் ஈரங்கள் கசியவே இறைபாலன் தோன்றினானே,1,இரும்பான நெஞ்சிலும் ,இரும்பான இதயம் என்பது வலிமை மற்றும் கடினத்தன்மையின் சின்னமாகும். ,இரும்பான நெஞ்சு என்பது கடினமான மற்றும் உணர்ச்சிகளை வெளிப்படுத்தாத ஒருவரைக் குறிக்கிறது.
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,முட்காடு எங்கிலும் பூக்காடு பூக்கவே புவிராஜன் தோன்றினானே,0,,,
பூவுக்குள் ஒளிந்திருக்கும் கனிக்கூட்டம் அதிசயம்,பூவுக்குள் ஒளிந்திருக்கும்,வைரமுத்து,1998,நங்கைகொண்ட விரல்கள் அதிசயமே,0,,,
பூவுக்குள் ஒளிந்திருக்கும் கனிக்கூட்டம் அதிசயம்,பூவுக்குள் ஒளிந்திருக்கும்,வைரமுத்து,1998,நகம் என்ற கிரீடம் அதிசயமே,1,நகம் என்ற கிரீடம்,இங்கு நகம் விரல்களின் கிரீடமாக உருவகிக்கப்பட்டுள்ளது. ,"நகங்கள் நம் விரல்களை அழகாகவும், கவர்ச்சியாகவும் மாற்றுகின்றன"
பூவுக்குள் ஒளிந்திருக்கும் கனிக்கூட்டம் அதிசயம்,பூவுக்குள் ஒளிந்திருக்கும்,வைரமுத்து,1998,"மின்சாரம் இல்லாமல் மிதக்கின்ற தீபம்போல்
 மேனி கொண்ட மின்மினிகள் அதிசயமே",1,மின்சாரம் இல்லாமல் மிதக்கின்ற தீபம்,இந்த உருவகம் மின்மினிகளின் ஒளியின் அழகை வெளிப்படுத்துகிறது.,
உயிரே… உயிரே…வந்து என்னோடு கலந்துவிடு…,உயிரே… உயிரே…,வைரமுத்து,1995,என் சுவாசக் காற்று வரும்பாதை பார்த்து… உயிர்தாங்கி நானிருப்பேன்…,0,,,
உயிரே… உயிரே…வந்து என்னோடு கலந்துவிடு…,உயிரே… உயிரே…,வைரமுத்து,1995,மலா்கொண்ட பெண்மை வாராமல் போனால்… மலைமீது தீக்குளிப்பேன்,1,மலா்கொண்ட பெண்மை,"இந்த உருவகம், ஒரு பெண்ணின் அழகை கருணையை வெளிப்படுத்துகிறது","ஒரு மலர் கொண்ட பெண்மை என்பது ஒரு பெண்ணின் கருணையும், அன்பும் நிறைந்தவள் என்பதைக் குறிக்கிறது."
உயிரே… உயிரே…வந்து என்னோடு கலந்துவிடு…,உயிரே… உயிரே…,வைரமுத்து,1995,என் உயிர் போகும் போனாலும் துயரில்லை கண்ணே… அதற்காகவா பாடினேன்,0,,,
என் பாதங்களுக்குக் கீழே பூக்கள் இல்லை,கோடுகளும் சித்திரங்களே,வைரமுத்து,2011,நுரையீரல்களை கார்பன் தாள்களாய்க் கறுக்க வைக்கும் கந்தகக்காற்று,1,கந்தகக்காற்று,கந்தகக்காற்று என்பது இயற்கை சூழலின் அழிவைக் குறிக்கிறது,
என் பாதங்களுக்குக் கீழே பூக்கள் இல்லை,கோடுகளும் சித்திரங்களே,வைரமுத்து,2011,நசுங்கிய நம்பிக்கைகளுக்கு என் பேனாவிலிருந்தொரு ரத்ததானம்,1,பேனாவிலிருந்தொரு ரத்ததானம்,ஒரு நபர் தனது பேனாவில் இருந்து எழுதுகிற வார்த்தைகளை ஒரு நசுங்கிய நம்பிக்கைக்கு ரத்ததானம் என்று ஒப்பிடுகிறது,
என் பாதங்களுக்குக் கீழே பூக்கள் இல்லை,கோடுகளும் சித்திரங்களே,வைரமுத்து,2011,நான் வரைய நினைத்தது சித்திரம்தான். வந்திருப்பவை கோடுகளே,0,,,
முச்சங்கங் கூட்டி முதுபுலவர் தமைக்கூட்டி,கவியரங்கில் கவியரசு,வைரமுத்து,2011,மலையளவு நெஞ்சுறுதி …..வானளவு சொற்பெருக்கு கடலளவு கற்பனைகள் …..கனிந்துருகும் கவிக்கனிகள்,1,கவிக்கனி,கவிதைகள் கனிகளாக உருவகப்படுத்தப்படுகின்றன. ,
முச்சங்கங் கூட்டி முதுபுலவர் தமைக்கூட்டி,கவியரங்கில் கவியரசு,வைரமுத்து,2011,இரவை பகலாக்கி இன்பத்தைக் கூட்டுகின்றேன்! அரசியலைப் பேசி ஆத்மச் சிறகுகளை உரசிக் கொதிக்கவைத்த உற்பாதம் தீர்ந்துவிட்டேன்,1,ஆத்மச் சிறகுகள்,ஆத்மச் சிறகுகள் என்பது மனித ஆன்மாவின் திறன்களைக் குறிக்கிறது,
அலைகளே! நீர்மேல் ஆடுந் தண்ணீர் மலைகளே! கடலின் மந்திரக் கைகளே!,அலைகள்,வைரமுத்து,2011,கடல்நீர் விழாவில் கரக ஆட்டம் நடத்தித் தோற்கும் நாடகக் கும்பலே!,1,கடல்நீர் விழா,கடல்நீரில் நடத்தும் கரக ஆட்டத்தைப் போன்றது.,"கடல்நீர் ஒரு சவாலான இடம். அதில் கரக ஆட்டம் நடத்துவது கடினம். 
அதை எதிர்கொண்டு, வெற்றி பெற முயற்சிக்க வேண்டும்."" என்று கூறப்பட்டுள்ளது."
அலைகளே! நீர்மேல் ஆடுந் தண்ணீர் மலைகளே! கடலின் மந்திரக் கைகளே!,அலைகள்,வைரமுத்து,2011,கருப்புக் கடலுக் காசநோ யாலே இருமித் துப்பும் எச்சில் மலைகளே!,1,இருமித் துப்பும் எச்சில் மலைகளே!,இயற்கையை அழிக்கக்கூடிய மனித செயல்பாடுகளை விமர்சிக்கிறது.,
அலைகளே! நீர்மேல் ஆடுந் தண்ணீர் மலைகளே! கடலின் மந்திரக் கைகளே!,அலைகள்,வைரமுத்து,2011,கரையில் கலையும் கடலின் கனவுகள்,1,கரையில் கலையும் கடலின் கனவுகள்,கடலின் கனவுகள் கரையில் கலந்து அழியும் என்பதை குறிக்கிறது. ,
அலைகளே! நீர்மேல் ஆடுந் தண்ணீர் மலைகளே! கடலின் மந்திரக் கைகளே!,அலைகள்,வைரமுத்து,2011,கரைக்கன்னத்தில் கடல்முத்தங்கள்,1,கரைக்கன்னத்தில்,"இந்த வரியில், ""கரைக்கன்னம்"" என்பது நண்பர்களின் அன்பையும் அக்கறையையும் குறிக்கிறது",
அலைகளே! நீர்மேல் ஆடுந் தண்ணீர் மலைகளே! கடலின் மந்திரக் கைகளே!,அலைகள்,வைரமுத்து,2011,கரைக்கன்னத்தில் கடல்முத்தங்கள்,1,கடல்முத்தங்கள்,"""கடல்முத்தங்கள்"" என்பது அவர்களின் நட்பு மற்றும் அன்பின் வெளிப்பாட்டைக் குறிக்கிறது.",
நீ இன்றி நானும் இல்லை,நீ இன்றி நானும் இல்லை,தாமரை,2008,தொடுவானம் சிவந்து போகும்,1,தொடுவானம்,இது வானத்தின் எல்லையற்ற தன்மை பற்றிய ஒரு உருவகமாகும்.,
நீ இன்றி நானும் இல்லை,நீ இன்றி நானும் இல்லை,தாமரை,2008,தொலை தூரம் குறைந்து போகும்,0,,,
நீ இன்றி நானும் இல்லை,நீ இன்றி நானும் இல்லை,தாமரை,2008,கரைகின்ற நொடிகளில் நான் நெருங்கி வந்தேனே,0,,,
விழியே விழியே திரை விரிகிறதே,விழியே விழியே திரை விரிகிறதே,தாமரை,2014,கதிரவனாக திரிந்த பகல் நிலவென தேயவும் துணிந்ததடி,0,,,
விழியே விழியே திரை விரிகிறதே,விழியே விழியே திரை விரிகிறதே,தாமரை,2014,கருநிறமாக இருந்த நிழல் உனதொரு பார்வையில் வெளுத்ததடி,0,,,
விழியே விழியே திரை விரிகிறதே,விழியே விழியே திரை விரிகிறதே,தாமரை,2014,இலையும் தீண்டாத கனி நீ நான் சுவைக்கும் நாள் கிட்டும் பொறு நீ,1,இலையும் தீண்டாத கனி நீ,"இதில், ""கனி"" என்பது ஒரு அழகிய, கவர்ச்சிகரமான பெண்ணைக் குறிக்கிறது.","""இலை"" என்பது அந்தப் பெண்ணின் கற்பு மற்றும் தூய்மையைக் குறிக்கிறது. 
இன்னும் யாரும் தொடாத, தூய்மையான என்று பொருள்."
விழியே விழியே திரை விரிகிறதே,விழியே விழியே திரை விரிகிறதே,தாமரை,2014,விரல்கள் மீட்டாத இசை நீ மெல்லிசையாய் என் காதல் வசம் நீ,1,விரல்கள் மீட்டாத இசை நீ,"இது காதலியை இன்னும் தொடப்படாத, கண்டுபிடிக்கப்படாத ஒரு பொருளாகக் காட்டுகிறது. ",காதலன் அவளை இன்னும் முழுமையாகப் புரிந்து கொள்ளவில்லை
விழியே விழியே திரை விரிகிறதே,விழியே விழியே திரை விரிகிறதே,தாமரை,2014,தவமே செய்யாத வரம் நீ பெண் கடலே முத்தங்கள் இடு நீ,0,,,
லோலிட்டா ஹா லோலிட்டா உன் தூரம் கூட பக்கமாக மாறுதே,லோலிட்டா ஹா லோலிட்டா,தாமரை,2011,பொன்மஞ்சள் மஞ்சள் பெண்ணே எங்கே செல்கிறாய்,1,பொன்மஞ்சள் மஞ்சள் பெண்ணே,"பெண்ணின் தோற்றம் பொன்மஞ்சள் நிறத்தில் உள்ளது, இது அவளுடைய அழகை வலியுறுத்துகிறது.",
லோலிட்டா ஹா லோலிட்டா உன் தூரம் கூட பக்கமாக மாறுதே,லோலிட்டா ஹா லோலிட்டா,தாமரை,2011,மின்னஞ்சல் போலே வந்து சென்றுக் கொல்கிறாய்,0,,,
லோலிட்டா ஹா லோலிட்டா உன் தூரம் கூட பக்கமாக மாறுதே,லோலிட்டா ஹா லோலிட்டா,தாமரை,2011,உன் கரை இல்லாத கண்கள் வெட்டித் தள்ளுதே,1,கரை இல்லாத கண்கள்,கண்கள் ஆழமானவை மற்றும் அளவிட முடியாதவை என்பதைக் குறிக்கிறது,
லோலிட்டா ஹா லோலிட்டா உன் தூரம் கூட பக்கமாக மாறுதே,லோலிட்டா ஹா லோலிட்டா,தாமரை,2011,உண்மையை சொல்லட்டா உன் முலாம் பூசாத பேச்சில் எல்லாம் உள்ளதே,1,முலாம் பூசாத பேச்சில்,"உண்மையான, நேர்மையான பேச்சைக் குறிக்கிறது. ",
ஒரு மாலை இளவெயில் நேரம்,ஒரு மாலை இளவெயில் நேரம்,தாமரை,2005,"அவள் அள்ளி விட்ட பொய்கள்
நடு நடுவே கொஞ்சம் மெய்கள்",0,,,
ஒரு மாலை இளவெயில் நேரம்,ஒரு மாலை இளவெயில் நேரம்,தாமரை,2005,"இதழோரம் சிரிப்போடு
கேட்டு கொண்டே நின்றேன்",0,,,
ஒரு மாலை இளவெயில் நேரம்,ஒரு மாலை இளவெயில் நேரம்,தாமரை,2005,"அவள் நின்று பேசும் ஒரு தருணம் 
என் வாழ்வில் சக்கரை நிமிடம்",1,என் வாழ்வில் சக்கரை நிமிடம்,இது ஒரு சிறிய மற்றும் மகிழ்ச்சியான தருணத்தை ஒரு சர்க்கரை நிமிடத்துடன் ஒப்பிடுகிறது.,"ஒரு சக்கரை நிமிடம் என்பது ஒரு சிறிய நேரத்தில் 
நம் வாழ்க்கையை மகிழ்ச்சியடையச் செய்யும் ஒரு இனிமையான தருணம்."
ஒரு மாலை இளவெயில் நேரம்,ஒரு மாலை இளவெயில் நேரம்,தாமரை,2005,ஈர்க்கும் விசையை அவளிடம் கண்டேனே,0,,,
மல்லிகைப் பூவே மல்லிகைப் பூவே பார்த்தாயா,மல்லிகைப் பூவே,தாமரை,2012,சின்ன சின்ன கைகளிலே வண்ணம் சிந்தும் ரோஜாப்பூ,0,,,
மல்லிகைப் பூவே மல்லிகைப் பூவே பார்த்தாயா,மல்லிகைப் பூவே,தாமரை,2012,சிரித்து பேசி விளையாடும் நெஞ்சம் இங்கு மத்தாப்பூ,1,நெஞ்சம் இங்கு மத்தாப்பூ,சிரித்து பேசி விளையாடும் நெஞ்சம் இங்கு மத்தாப்பூ போல அழகாகவும் மகிழ்ச்சியாகவும் இருக்கிறது ,
"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம்மாறி",நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ,வாலி,1973,"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம் மாறி நீந்துகின்ற குழலோ",1,நிலவு ஒரு பெண்ணாகி ,நிலவு ஒரு பெண்ணின் அழகைப் பிரதிபலிக்கிறது என்பதாகும். ,"நிலவு இரவில் வானத்தில் ஒளிரும்போது, ​​அது ஒரு அழகான பெண்ணின் முகத்தை ஒத்திருக்கிறது."
"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம்மாறி",நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ,வாலி,1973,புருவமொரு வில்லாக பார்வையொருக் கணையாக,1,புருவமொரு வில்லாக,ஒருவரின் புருவங்களின் அழகைக் குறிக்கிறது. ,புருவங்கள் மிகவும் கவர்ச்சியாக இருப்பதைக் குறிக்கிறது.
"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம்மாறி",நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ,வாலி,1973,புருவமொரு வில்லாக பார்வையொருக் கணையாக,1,பார்வையொருக் கணையாக,ஒருவரின் பார்வையின் அழகைக் குறிக்கிறது.,இது ஒருவரின் பார்வையின் மிகவும் சக்திவாய்ந்ததாக இருப்பதைக் குறிக்கிறது.
"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம்மாறி",நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ,வாலி,1973,பருவமொரு களமாகப் போர் தொடுக்கப் பிறந்தவளோ,1,பருவமொரு களமாகப் ,"பருவம் என்பது ஒரு போர்க்களம் போன்றது, அங்கு வாழ்க்கையில் வெற்றி பெறுவதற்காக ஒருவர் போராட வேண்டும்.",
"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம்மாறி",நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ,வாலி,1973,பவழமென விரல் நகமும் பசுந்தளிர் போல் வளை கரமும்,1,பவழமென விரல் நகம்,இது விரல் நகத்தின் நிறத்தை மற்றும் பளபளப்பை பவழத்துடன் ஒப்பிடுகிறது,
"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம்மாறி",நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ,வாலி,1973,பவழமென விரல் நகமும் பசுந்தளிர் போல் வளை கரமும்,1,பசுந்தளிர் போல் வளை கரம்,இது கரம் வளைந்து இருப்பதை மற்றும் புத்துணர்ச்சியை பசுந்தளிருடன் ஒப்பிடுகிறது.,
"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம்மாறி",நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ,வாலி,1973,தேன் கனிகள் இருபுறமும் தாங்கி வரும் பூங்கொடியோ,0,,,
"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம்மாறி",நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ,வாலி,1973,ஆழ்கடலின் சங்காக நீள் கழுத்து அமைந்தவளோ,1,ஆழ்கடலின் சங்காக நீள் கழுத்து,ஒரு பெண்ணின் நீண்ட கழுத்து ஆழ்கடலின் சங்கத்தைப் போன்றது,
"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம்மாறி",நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ,வாலி,1973,யாழிசையின் ஒலியாக வாய்மொழி தான் மலர்ந்தவளோ,1,யாழிசையின் ஒலியாக வாய்மொழி,"பெண்ணின் வாய்மொழி யாழிசையின் ஒலியைப் போல இனிமையாகவும், மென்மையாகவும், கவர்ச்சியாகவும் இருக்கிறது",
"நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ
நீரலைகள் இடம்மாறி",நிலவு ஒரு பெண்ணாகி உலவுகின்ற அழகோ,வாலி,1973,படைத்தவனின் திறமை எல்லாம் முழுமை பெற்ற அழகியென்பேன்..,0,,,
நாளை இந்த வேளை பார்த்து ,பால் போலவே வான் மீதிலே,வாலி,1968,தென்றலே என் தனிமை கண்டு நின்று போய் விடு ஆஆ,0,,,
நாளை இந்த வேளை பார்த்து ,பால் போலவே வான் மீதிலே,வாலி,1968,வண்ண விழியின் வாசலில் என் தேவன் தோன்றினான்,1,வண்ண விழி,காதலியின் கண்கள் பல வண்ணங்களால் நிரம்பியுள்ளன என்பதைக் குறிக்கிறது.  ,இது ஒருவரின் தனித்துவத்தையும் கவர்ச்சியையும் வெளிப்படுத்துகின்றன
நாளை இந்த வேளை பார்த்து ,பால் போலவே வான் மீதிலே,வாலி,1968,எண்ணம் என்னும் மேடையில் பொன் மாலை சூடினான்,1,எண்ணம் என்னும் மேடையில்,"""எண்ணம்"" என்பது ஒரு மேடை என்று உருவகப்படுத்தப்பட்டுள்ளது. ","ஒரு மேடையில் ஒரு கலைஞன் தனது திறமையை வெளிப்படுத்தி, பார்வையாளர்களிடமிருந்து பாராட்டைப் பெறுகிறான். 
அதேபோல், ஒரு நபர் தனது எண்ணங்களின் மூலம் தனது திறமையை வெளிப்படுத்தி, வெற்றிகளைப் பெறுகிறான்."
நாளை இந்த வேளை பார்த்து ,பால் போலவே வான் மீதிலே,வாலி,1968,கன்னி அழகை பாடவோ அவன் கவிஞன் ஆகினான்,0,,,
நாளை இந்த வேளை பார்த்து ,பால் போலவே வான் மீதிலே,வாலி,1968,பெண்மையே உன் மேன்மை கண்டு கலைஞன் ஆகினான் கலைஞன் ஆகினான்,0,,,
நாளை இந்த வேளை பார்த்து ,பால் போலவே வான் மீதிலே,வாலி,1968,சொல்ல நினைத்த ஆசைகள் சொல்லாமல் போவதேன்,0,,,
நாளை இந்த வேளை பார்த்து ,பால் போலவே வான் மீதிலே,வாலி,1968,சொல்ல வந்த நேரத்தில் பொல்லாத நாணம் ஏன்,0,,,
நாளை இந்த வேளை பார்த்து ,பால் போலவே வான் மீதிலே,வாலி,1968,மன்னன் நடந்த பாதையில் என் கால்கள் செல்வதேன்,0,,,
நாளை இந்த வேளை பார்த்து ,பால் போலவே வான் மீதிலே,வாலி,1968,மங்கையே உன் கண்கள் இன்று மயக்கம் கொண்டதேன் மயக்கம் கொண்டதேன்,0,,,
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,கரிகாலன் காலப்போல கருத்திருக்குது குழலு,1,கரிகாலன் கால்,குழலின் கருப்பு நிறத்தை கரிகாலனின் கருப்பு நிற காலுக்கு ஒப்பிடுகிறது.,
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,குழலில்ல குழலில்ல தாஜ் மகால் நிழலு,0,,,
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,சேவலோட கொண்ட போல செவந்திருக்குது உதடு,1,சேவலோட கொண்ட,ஒருவரின் உதடுகள் மிகவும் சிவந்ததாக இருப்பதைக் குறிக்கிறது. ,"இது ஒருவரின் உதடுகள் மிகவும் அழகாகவும், கவர்ச்சியாகவும் இருப்பதைக் குறிக்கிறது."
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,உதடில்ல உதடில்ல மந்திரிச்ச தகடு,0,,,
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,ஏய் பருத்தி பூவப்போல பதியுது உன் பாதம்,1,பருத்தி பூவப்போல,காதலியின் பாதங்கள் பருத்தி பூக்களைப் போல மென்மையாக இருப்பதைக் குறிக்கிறது,
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,பாதம் இல்ல பாதம் இல்ல பச்சரிசி சாதம்,0,,,
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,ஏ வலம்புரி சங்கைப் போல வழுக்குது உன் கழுத்து,1,வலம்புரி சங்கைப் போல வழுக்குது,"ஒருவரின் கழுத்து வலம்புரி சங்கைப் போல வழுவழுப்பானது என்று கூறுவது, 
அந்த நபரின் கழுத்து அழகாகவும், மென்மையாகவும் இருப்பதைக் குறிக்கிறது.",
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,கழுத்து இல்ல கழுத்து இல்ல கண்ணதாசன் எழுத்து,0,,,
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,கண்ட உடன் வெட்டுதடி கத்திரிக்கோலு கண்ணு,1,கத்திரிக்கோலு கண்ணு,ஒருவரின் கண்கள் மிகவும் கூர்மையானவை என்பதைக் குறிக்கிறது. ,"இது ஒரு நபரின் பார்வை மிகவும் தெளிவாகவும், விவரமானதாகவும் இருப்பதைக் குறிக்கிறது."
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,கண்ணு இல்ல கண்ணு இல்ல கெறங்கடிக்கிற ஜின்னு,0,,,
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,பத்த வச்ச மத்தாப்பு போல் மினுமினுக்குது பல்லு,1,பத்த வச்ச மத்தாப்பு,பற்கள் மத்தாப்பின் தீ போல பிரகாசமாக மின்னுகின்றன என்பது ஆகும்,
கரிகாலன் காலப்போல ,கரிகாலன் காலப்போல,கபிலன்,2009,பல்லு இல்ல பல்லு இல்ல பதிச்ச வைரக் கல்லு,0,,,
பட்டாம்பூச்சி,பட்டாம்பூச்சி,கபிலன்,2011,காதல்தேனை சாப்பிடும் போது பேசக் கூடாதே,1,காதல்தேனை,காதல் அனுபவம் மிகவும் அற்புதமானது மற்றும் வார்த்தைகளால் விவரிக்க முடியாதது என்பதைக் குறிக்கிறது,
பட்டாம்பூச்சி,பட்டாம்பூச்சி,கபிலன்,2011,எதைத்த தருவது தானென்று எதைப் பெறுவது தானென்று,0,,,
பட்டாம்பூச்சி,பட்டாம்பூச்சி,கபிலன்,2011,குறுக்கும் நெடுக்கும் குழந்தை போல இதயம் குதித்தோட,1,குறுக்கும் நெடுக்கும் குழந்தை போல இதயம்,ஒருவரின் இதயம் மகிழ்ச்சியுடன் குதிப்பதைக் குறிக்கிறது,
பட்டாம்பூச்சி,பட்டாம்பூச்சி,கபிலன்,2011,பூமுகம் உன் பூமுகம்,1,பூமுகம்,காதலியின் முகத்தை மலருடன் ஒப்பிடுகிறது,
ஆட்டுவித்தால் யாரொருவர் ஆடாதாரே கண்ணா,ஆட்டுவித்தால் யாரொருவர்,கண்ணதாசன்,1975,ஆசையெனும் தொட்டினிலே ஆடாதாரே கண்ணா,1,ஆசையெனும் தொட்டினிலே,"ஆசை என்பது ஒரு சிறிய குழந்தையைப் போல, அதை அடக்க முடியாத மற்றும் 
கட்டுப்படுத்த முடியாத ஒரு சக்தி என்பதைக் குறிக்கிறது.",
ஆட்டுவித்தால் யாரொருவர் ஆடாதாரே கண்ணா,ஆட்டுவித்தால் யாரொருவர்,கண்ணதாசன்,1975,நீ நடத்தும் நாடகத்தில் நானும் உண்டு,0,,,
ஒரு சின்ன தாமரை,ஒரு சின்ன தாமரை,விவேகா,2009,ஒரு சின்ன தாமரை,0,,,
ஒரு சின்ன தாமரை,ஒரு சின்ன தாமரை,விவேகா,2009,என் கண்ணில் பூத்ததே,0,,,
ஒரு சின்ன தாமரை,ஒரு சின்ன தாமரை,விவேகா,2009,அதன் மின்னல் வார்த்தைகள்,1,மின்னல் வார்த்தைகள்,இது ஒரு சிறிய மற்றும் வலுவான வார்த்தையை ஒரு மின்னலுடன் ஒப்பிடுகிறது,
ஒரு சின்ன தாமரை,ஒரு சின்ன தாமரை,விவேகா,2009,என் உள்ளம் தேடி தைக்கின்றதே,0,,,
கண் இரண்டில் மோதி,கண் இரண்டில் மோதி,ஏக்நாத்,2010,உன் முத்து முத்து பேச்சு என் சங்கீதமா ஆச்சு,1,முத்து முத்து பேச்சு,"பெண்ணின் பேச்சு ஒரு முத்து மாதிரி அழகாக இருக்கிறது,",
கண் இரண்டில் மோதி,கண் இரண்டில் மோதி,ஏக்நாத்,2010,"உன் சுண்டு விரல் தீண்டையில 
நின்னு போச்சு என் மூச்சு",0,,,
கண்ணம்மா உன்ன மனசில் நினைக்கிறேன்,கண்ணம்மா,சாம் சி எஸ் ,2019,மௌனம் பேசும் மொழிகூட அழகடி,1,மௌனம் பேசும் மொழி,"இது மௌனத்தின் வலிமையையும், அதன் மூலம் வெளிப்படுத்தக்கூடிய பலவற்றையும் குறிக்கிறது.",
கண்ணம்மா உன்ன மனசில் நினைக்கிறேன்,கண்ணம்மா,சாம் சி எஸ் ,2019,ஆயுள் நீல அது போதும் வருடி,0,,,
கண்ணம்மா உன்ன மனசில் நினைக்கிறேன்,கண்ணம்மா,சாம் சி எஸ் ,2019,உந்தன் உதட்டின் ஓரங்கள் மறைக்கும் புது மொழி அதை உடைத்தெறி,1,உந்தன் உதட்டின் ஓரங்கள் மறைக்கும் புது மொழி,இது ஒரு பெண்ணின் புன்னகையால் வெளிப்படும் புதிய உணர்ச்சிகளை அல்லது எண்ணங்களைக் குறிக்கிறது.,"ஒரு பெண்ணின் புன்னகை என்பது அவள் மனதில் இருப்பதை 
வெளிப்படுத்தும் ஒரு வகையான மொழியாகும் என்பதைக் குறிக்கிறது."
கண்ணம்மா உன்ன மனசில் நினைக்கிறேன்,கண்ணம்மா,சாம் சி எஸ் ,2019,வெள்ளை பூவே நீ எந்தன் நிலவடி,0,,,
கண்ணம்மா உன்ன மனசில் நினைக்கிறேன்,கண்ணம்மா,சாம் சி எஸ் ,2019,எந்தன் வானை மறைகின்ற அழகி,0,,,
கண்ணம்மா உன்ன மனசில் நினைக்கிறேன்,கண்ணம்மா,சாம் சி எஸ் ,2019,"நிலவே.மலரே. கவியே.அழகே.. அணையா ஒளியே என் நெஞ்சுக்குள்ள வா வா.
",1,அணையா ஒளியே,அணையா ஒளி என்பது ஒரு வலுவான மற்றும் நிலையான ஒளியைக் குறிக்கிறது. ,ஒரு நபர் தனது இதயத்தில் வைத்திருக்கும் ஒரு நபர்ன் அடையாளம்.
கோரமான மரணம் ஒன்று…,கனவே கனவே ,மோகன் ராஜன்,2013,சையும் போனது… திமிரும் போனது… தனிமைத் தீயிலே வாடினேன்…,1,தனிமைத் தீ,"இந்த உருவகத்தில், தனிமை ஒரு தீயாகக் காட்டப்படுகிறது
இது ஒருவரின் வாழ்க்கையில் ஒரு பெரிய தாக்கத்தை ஏற்படுத்தக்கூடும்.",ஒருவரின் தனிமையின் உணர்வை வெளிப்படுத்தும் ஒரு அழகான மற்றும் சக்திவாய்ந்த உருவகமாகும்.
கோரமான மரணம் ஒன்று…,கனவே கனவே ,மோகன் ராஜன்,2013,நிழலும் போனது… நிஜமும் போனது…எனக்குள் எனையேத் தேடினேன்…,0,,,
கோரமான மரணம் ஒன்று…,கனவே கனவே ,மோகன் ராஜன்,2013,கண்கள் ரெண்டும் நீரிலே… மீனைப் போல வாழுதே…,1,கண்கள் ரெண்டும் மீனை,"இந்த உருவகத்தில், கண்கள் நீரில் மூழ்கி, வாழும் ஒரு மீனைப் போலக் காட்டப்படுகின்றன.",ஒருவரின் காதலின் ஆழம் மற்றும் வலிமையைக் குறிக்கிறது
கோரமான மரணம் ஒன்று…,கனவே கனவே ,மோகன் ராஜன்,2013,கடவுளும் பெண் இதயமும்… இருக்குதா அட இல்லையா…,0,,,
,,,,,,,,
,,,,,,,,
